y,x,labels,tissue
0.0,44.82758620689655,0,DEB
0.0,48.275862068965516,0,DEB
0.0,50.0,0,DEB
1.7241379310344827,41.37931034482759,0,DEB
1.7241379310344827,50.0,0,DEB
5.172413793103448,48.275862068965516,0,DEB
6.896551724137931,44.82758620689655,0,DEB
10.344827586206897,17.241379310344826,1,DEB
10.344827586206897,22.413793103448274,-1,DEB
10.344827586206897,60.34482758620689,-1,DEB
10.344827586206897,96.55172413793103,-1,DEB
12.068965517241379,17.241379310344826,1,DEB
12.068965517241379,101.72413793103448,-1,DEB
13.793103448275861,15.517241379310343,1,DEB
15.517241379310343,12.068965517241379,1,DEB
15.517241379310343,91.37931034482759,2,DEB
15.517241379310343,96.55172413793103,2,DEB
17.241379310344826,10.344827586206897,1,DEB
17.241379310344826,93.10344827586206,2,DEB
17.241379310344826,94.82758620689654,2,DEB
18.96551724137931,8.620689655172413,1,DEB
20.689655172413794,8.620689655172413,1,DEB
20.689655172413794,93.10344827586206,2,DEB
20.689655172413794,100.0,-1,DEB
22.413793103448274,6.896551724137931,1,DEB
22.413793103448274,43.103448275862064,3,DEB
25.86206896551724,43.103448275862064,3,DEB
27.586206896551722,41.37931034482759,3,DEB
27.586206896551722,43.103448275862064,3,DEB
27.586206896551722,44.82758620689655,3,DEB
29.310344827586206,18.96551724137931,-1,DEB
29.310344827586206,41.37931034482759,3,DEB
29.310344827586206,43.103448275862064,3,DEB
29.310344827586206,44.82758620689655,3,DEB
29.310344827586206,46.55172413793103,3,DEB
31.034482758620687,27.586206896551722,-1,DEB
31.034482758620687,41.37931034482759,3,DEB
31.034482758620687,43.103448275862064,3,DEB
31.034482758620687,44.82758620689655,3,DEB
32.75862068965517,41.37931034482759,3,DEB
32.75862068965517,43.103448275862064,3,DEB
32.75862068965517,44.82758620689655,3,DEB
34.48275862068965,37.93103448275862,3,DEB
34.48275862068965,39.6551724137931,3,DEB
34.48275862068965,43.103448275862064,3,DEB
36.206896551724135,31.034482758620687,3,DEB
36.206896551724135,34.48275862068965,3,DEB
36.206896551724135,36.206896551724135,3,DEB
37.93103448275862,32.75862068965517,3,DEB
37.93103448275862,34.48275862068965,3,DEB
37.93103448275862,36.206896551724135,3,DEB
39.6551724137931,34.48275862068965,3,DEB
39.6551724137931,36.206896551724135,3,DEB
41.37931034482759,48.275862068965516,4,DEB
41.37931034482759,50.0,4,DEB
43.103448275862064,46.55172413793103,4,DEB
43.103448275862064,48.275862068965516,4,DEB
43.103448275862064,50.0,4,DEB
43.103448275862064,55.172413793103445,4,DEB
43.103448275862064,56.89655172413793,4,DEB
43.103448275862064,58.62068965517241,4,DEB
43.103448275862064,62.068965517241374,4,DEB
43.103448275862064,63.79310344827586,4,DEB
